cafarsite	Ca8(Ti,Fe,Fe,Mn)6-7(AsO3)12
cafetite	CaTi2O5.H2O
cahnite	Ca2B(AsO4)(OH)4
calaverite	AuTe2
calciborite	CaB2O4
calcioancylite-(ce)	(Ca,Sr)(Ce,REE)(CO3)2(OH).H2O
calcioancylite-(nd)	Ca(Nd,Ce,Gd,Y)3(CO3)4(OH)3.H2O
calcioandyrobertsite	KCaCu5(AsO4)4[As(OH)2O2].2(H2O)
calcioaravaipaite	PbCa2AlF6(F,OH)3
calciobetafite	Ca2(Ti,Nb)2(O,OH)7
calcioburbankite	Na3(Ca,Ce,La,Sr)3(CO3)5
calciocopiapite	CaFe4(SO4)6(OH)2
calcioferrite	Ca4Fe(Fe,Al)4(PO4)6(OH)4
calciohilairite	CaZrSi3O9
calciosamarskite	(Ca,Fe,U,Y)NbO4
calciotantite	CaTa4O11
calciouranoite	(Ca,Ba,Pb)U2O7
calcite	CaCO3
calciumcatapleiite	CaZrSi3O9
calcjarlite	Na(Ca,Sr)3Al3(F,OH)16
calcurmolite	Ca(UO2)3(MoO4)3(OH)2
calderite	(Mn,Ca)3(Fe,Al)2(SiO4)3
caledonite	Pb5Cu2(CO3)(SO4)3(OH)6
calkinsite-(ce)	(Ce,La)2(CO3)3
callaghanite	Cu2Mg2(CO3)(OH)6
calomel	Hg2Cl2
calumetite	Cu(OH,Cl)2
calzirtite	CaZr3TiO9
camerolaite	Cu4Al2[HSbO4,SO4]OH10(CO3)
cameronite	AgCu7Te10
camgasite	CaMg(AsO4)(OH)
caminite	Mg7(SO4)5(OH)4.H2O
campigliaite	Cu4Mn(SO4)2(OH)6
canaphite	CaNa2P2O7
canasite	K3Na3Ca5Si12O30(OH,F)4
canavesite	Mg2(CO3)(HBO3)
cancrinite	Na6Ca2Al6Si6O24(CO3)2
cancrisilite	Na7Al5Si7O24(CO3)
canfieldite	Ag8SnS6
cannizzarite	Pb4Bi5S11
cannonite	Bi2O(OH)2SO4
caoxite	CaC2O4
capgaronnite	HgSAg(Cl,Br,I)
cappelenite-(y)	Ba(Y,Ce)6Si3B6O24F2
caracolite	Na3Pb2(SO4)3Cl
carboborite	Ca2Mg(CO3)2B2(OH)8
carbocernaite	(Ca,Na)(Sr,Ce,Ba)(CO3)2
carboirite	FeAl2GeO5(OH)2
carbonatecyanotrichite	Cu4Al2(CO3,SO4)(OH)12
carbonatefluorapatite	Ca5(PO4,CO3)3F
carbonatehydroxylapatite	Ca5(PO4,CO3)3(OH)
carletonite	KNa4Ca4Si8O18(CO3)4(OH,F).H2O
carlfriesite	CaTe2TeO8
carlhintzeite	Ca2AlF7.H2O
carlinite	Tl2S
carlosruizite	K6(Na,K)4Na6Mg10(SeO4)12(IO3)12
carlosturanite	(Mg,Fe,Ti)21(Si,Al)12O28(OH)34.H2O
carlsbergite	CrN
carminite	PbFe2(AsO4)2(OH)2
carnallite	KMgCl3
carnotite	K2(UO2)2V2O8
carobbiite	KF
carpholite	MnAl2Si2O6(OH)4
carraraite	Ca3Ge(OH)6(SO4)(CO3)
carrollite	Cu(Co,Ni)2S4
caryinite	Na(Ca,Pb)(Ca,Mn)(Mn,Mg)2(AsO4)3
cascandite	Ca(Sc,Fe)Si3O8(OH)
cassedanneite	Pb5(VO4)2(CrO4)2.H2O
cassidyite	Ca2(Ni,Mg)(PO4)2
cassiterite	SnO2
caswellsilverite	NaCrS2
catapleiite	Na2ZrSi3O9
cattierite	CoS2
cattiite	Mg3(PO4)2
cavansite	Ca(VO)Si4O10
cavoite	CaV3O7
caysichite-(y)	Y4(Ca3REE)(OH)(H2O)5(Si8O20)(CO3)6
cebaite-(ce)	Ba3Ce2(CO3)5F2
cebollite	Ca2(Mg,Fe,Al)Si2(O,OH)7
cechite	Pb(Fe,Mn)(VO4)(OH)
cejkaite	Na4(UO2)(CO3)3
celadonite	KFe(Mg,Fe)[]Si4O10(OH)2
celestine	SrSO4
celsian	BaAl2Si2O8
cerchiaraite	Ba4(Mn,Fe,Al)4(Si6O18)(OH)7Cl
cerianite-(ce)	(Ce,Th)O2
ceriopyrochlore-(ce)	(Ce,Ca,Y)2(Nb,Ta)2O6(OH,F)
cerite-(ce)	Ce9Fe(SiO4)6[(SiO3)(OH)](OH)3
cerite-(la)	(La,Ce,Ca)9(Fe,Ca,Mg)(SiO4)4[(SiO3)(OH)]4(OH)3
cernyite	Cu2CdSnS4
cerotungstite-(ce)	CeW2O6(OH)3
